,영화ID,영화명,개봉일,국적,장르,감독,배우
5221,5221,가려진 시간,2016-11-16,한국,"드라마,판타지",엄태화,"강동원,배영한,신은수,이효제,김희원,권해효,김단율,정우진,엄태구,박종환,김예지,이영상,조슬예,고민우,오희준,김정영,안지호,박지후,윤금선아,김준배,박성연,강덕중,김비비,백승진,김희상,김동현"
5222,5222,열다섯의 순수,2018-05-03,일본,드라마,카이 히로카즈,"하기와라 리쿠,오가와 사라"
5223,5223,비스티걸스,2017-07-13,한국,"드라마,멜로/로맨스",신진우,"고은아,유소영,김서지,박정선,신민철,안유미,이경민,이민지,이승훈,박지은"
5224,5224,우리들의 일기,2017-06-01,한국,"액션,드라마",임공삼,"윤성모,신지훈,정한비,조민호,이형원,공정환,정대곤,박종훈,이수민,이재우,이정현,이정현,김진혁,정준영,이정현,박상훈,송은율,이언수,진수현"
5225,5225,플래니테리엄,2018-08-29,프랑스,"드라마,판타지,미스터리",레베카 즐로토브스키,"나탈리 포트만,엠마뉴엘 샐린저,루이 가렐"
5226,5226,신을 믿습니까?,2016-04-21,미국,드라마,존 건,"숀 애스틴,테드 맥긴리,미라 소르비노,안드레아 로건 화이트,리 메이저스,알렉사 베가"
5227,5227,딥,2018-09-06,한국,"멜로/로맨스,스릴러",조성규,"최여진,류승수,정채율,서리나,허동원,곽진석,곽진석,김유진,박신우,이승준,조성규,곽진석"
5228,5228,인투 더 포레스트,2017-11-23,캐나다,스릴러,패트리샤 로제마,"엘렌 페이지,에반 레이첼 우드"
5229,5229,양아치 느와르,2018-09-13,한국,"드라마,코미디",강효진,"김병철,곽지유,김영용,서승원,조경현,김민영,김영훈,김정호,노일환,박병규,박준석,서승원,이봄,이재성,이정민,장지훈,한지웅,유영채"
5230,5230,승풍파랑,2017-09-14,홍콩,"코미디,드라마",한한,"덩차오,펑위옌,조려영"
5231,5231,아버지를 찾아서,2018-04-12,한국,다큐멘터리,김무은,"강병호,김문현,김문현,김민수,김정인,박노진,이경훈,이상화,장은정,전상진,정재원,정태완,조아라,조현정,최지혜,김준기"
5232,5232,파라독스,2018-06-21,홍콩,"액션,범죄",엽위신,"고천락,토니 자"
5233,5233,동창회의 목적 2,2017-09-19,한국,"멜로/로맨스,드라마",성우진,이도현
5234,5234,몬스터 주식회사,2001-12-20,미국,"애니메이션,코미디","피터 닥터,데이빗 실버맨,리 언크리치","존 굿맨,빌리 크리스탈"
5235,5235,터닝메카드W: 블랙미러의 부활,2017-01-18,한국,애니메이션,"홍헌표,김석원","소연,윤아영,신용우,장광,강호철,안영미,윤미나,이재현"
5236,5236,플랜 비,2017-10-19,스페인,"범죄,스릴러",이나키 도론소로,"루이스 토사,하비에르 구티에레즈"
5237,5237,로드 투 로마,2017-12-14,미국,"멜로/로맨스,코미디",엘라 렘하겐,"사라 제시카 파커,라울 보바,로지 데이,클라우디아 카르디날레"
5238,5238,친구엄마 2018,2018-12-04,한국,멜로/로맨스,이진명,김지현
5239,5239,동창회의 목적 3,2018-02-20,한국,멜로/로맨스,이도시,"김동규,김현진,이민욱,이수연,한상호"
5240,5240,플래시 댄스,1983-09-21,미국,"드라마,멜로/로맨스,뮤지컬",애드리안 라인,"마이클 누리,카일 T. 헤프너,제니퍼 빌즈"
5241,5241,사랑과 욕망의 짐노페디,2017-07-06,일본,"드라마,멜로/로맨스",유키사다 이사오,"이타오 이츠지,아시나 스미레"
5242,5242,매그놀리아,2000-04-15,미국,드라마,폴 토마스 앤더슨,"톰 크루즈,멜린다 딜런,줄리안 무어,제이슨 로바즈"
5243,5243,스마트폰을 떨어뜨렸을 뿐인데,2019-04-04,일본,"스릴러,미스터리,드라마",나카타 히데오,"키타가와 케이코,타나카 케이,치바 유다이,나리타 료"
5244,5244,시카고,2003-03-28,미국,"뮤지컬,드라마,범죄,코미디",롭 마샬,"르네 젤위거,캐서린 제타-존스,리차드 기어"
5245,5245,연애담,2016-11-17,한국,멜로/로맨스,이현주,"이상희,류아벨,박근록,임성미,김종수,유우람,이성용,이성용,이지수,장병기,차승호,정아미,김기범,한사명"
5246,5246,위대한 레보스키,1998-10-24,미국,"코미디,미스터리,범죄",조엘 코엔,"존 굿맨,제프 브리지스"
5247,5247,격퇴,1956-04-04,한국,전쟁,이강천,"박노식,황남,허장강,최강"
5248,5248,순수의 시대,2015-03-05,한국,"사극,드라마",안상훈,"신하균,장혁,강한나,강하늘,박혜준,정현국,권승구,서지오,권지훈,천준호,최아람,양영조,김경애,오하늬,윤민규,이광기,김민수,이상민,이수민,손병호,박갑진,최무성,기주봉,이재용,문영동,조희봉,지성원,성유빈,정아미,김사희,임영우,이형훈,김다예,박재한"
5249,5249,데어 윌 비 블러드,2008-03-06,미국,"스릴러,드라마",폴 토마스 앤더슨,"폴 다노,다니엘 데이 루이스"
5250,5250,내가 버린 남자,1979-05-03,한국,"드라마,멜로/로맨스",정소영,"유지인,윤일봉,남능미"
5251,5251,랜드 오브 마인,2017-04-06,덴마크,"드라마,전쟁",마틴 잔드블리엣,"미켈 보엘 폴스라르,루이스 호프만,조엘 바스만"
5252,5252,꿈보다 해몽,2015-02-12,한국,"드라마,코미디",이광국,"유준상,신동미,김강현,이채은,이주원,박수민,서영화,윤영민,백수장,이봉련,김동현"
5253,5253,브라보! 재즈 라이프,2010-12-16,한국,다큐멘터리,남무성,"남무성,조성준,김희동,최정훈,홍종민,김은민,박종우,조윤성,남무성,황태연,노상현,이동기,차정훈,유영수,임인건,임재필,김수열,전계숙,이원술,이한진,김준"
5254,5254,프레스,2017-11-30,한국,드라마,최정민,"진용욱,목규리,김경옥,문수현,송상훈"
5255,5255,메기의 추억,2019-05-08,한국,드라마,김문옥,"정인철,전채련,이동욱,홍해린,황태현,김국현,김지니,최미교,박효근,박준철,우명덕,이혜령,서예빈,오성혜,박칠성,한미래,김리향,안궁,태산,박경흠,박병열,현동현,남상현,박대성,문현수,김정철,정시아,박태현,박홍열,서예진,신승환"
5256,5256,스토커,2013-02-28,미국,"드라마,스릴러",박찬욱,"미아 와시코브스카,매튜 구드,니콜 키드먼,더못 멀로니,재키 위버"
5257,5257,원라인,2017-03-29,한국,범죄,양경모,"김찬호,임시완,진구,박병은,이동휘,김선영,박종환,왕지원,박유환,안세하,조우진,박형수,박건도,박지홍,안지현,유요한,이도현,최창국,이석호,한민철,이영호,홍성호,김말구,김태준,김근영,임지환,김대현,황성준,오민애,김국희,박근록,현봉식,이일화,박성연,박경찬,전광진,임용순,권범택,신정섭,김희상,추연규,윤일식"
5258,5258,송곳니,2012-01-05,그리스,"코미디,드라마",요르고스 란티모스,"크리스토스 스테르기오글루,미셸 발리"
5259,5259,배틀크릭,2018-07-06,미국,"드라마,멜로/로맨스",앨리슨 이스트우드,"폴라 말콤슨,빌 스카스가드"
5260,5260,애인,1982-07-24,한국,"드라마,멜로/로맨스",박호태,"방희,신일룡,장미희,김미영,최연호"
5261,5261,금욕,1976-03-13,한국,"드라마,멜로/로맨스",김수형,"이영옥,신성일"
5262,5262,쇼크 웨이브,2017-11-23,중국,액션,구예도,"유덕화,강무,송가"
5263,5263,두 엄마,2017-08-14,한국,멜로/로맨스,이도시,이민욱
5264,5264,소통과 거짓말,2017-11-09,한국,드라마,이승원,"장선,김권후,김선영,박지훈,이승원"
5265,5265,아이언맨 3,2013-04-25,미국,"액션,어드벤처,SF",쉐인 블랙,"로버트 다우니 주니어,기네스 팰트로우,벤 킹슬리,가이 피어스,레베카 홀,폴 베타니,존 파브로"
5266,5266,착한 친구엄마,2018-10-08,한국,멜로/로맨스,이진명,이유나
5267,5267,청원,2011-11-02,인도,드라마,산제이 렐라 반살리,"리틱 로산,아이쉬와라 라이"
5268,5268,야공작,2017-06-01,중국,"멜로/로맨스,드라마",다이 시지에,"유역비,여명,유엽,여소군"
5269,5269,광란의 사랑,1991-03-16,미국,"드라마,범죄",데이빗 린치,"니콜라스 케이지,로라 던"
5270,5270,근거리 연애,2017-09-10,일본,멜로/로맨스,쿠마자와 나오토,"야마시타 토모히사,고마츠 나나,미즈카와 아사미"
5271,5271,미워도 다시 한번,1968-07-16,한국,드라마,정소영,"김정훈,김정옥,전계현,문희,신영균"
5272,5272,두 번째 겨울,2018-12-27,한국,드라마,김의곤,"이광현,김재우,박가영,송현석,이윤화,황다훈"
5273,5273,시니어 재즈 밴드,2017-10-01,일본,드라마,미야타케 유이,"미야시타 토모미,카와하라 사부,토쿠이 유"
5274,5274,굿모닝 맨하탄,2014-02-06,인도,"코미디,드라마",가우리 신드,"스리데비,아딜 후세인"
5275,5275,황금시대,2014-10-16,중국,드라마,허안화,"탕웨이,풍소봉,왕지문"
5276,5276,검은 사제들,2015-11-05,한국,"미스터리,드라마",장재현,"김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철,김수진,민진웅"
5277,5277,천주정,2014-03-27,중국,"액션,드라마",지아 장 커,"강무,왕보강,자오 타오"
5278,5278,마중: 커피숍 난동 수다 사건,2018-05-17,한국,"코미디,드라마",임혜영,"김준한,류대식,문웅기,성기국,송준영,정재영,차지훈,이새롬,이주영"
5279,5279,가면의 정사,1993-01-22,미국,"스릴러,미스터리",볼프강 페터젠,"톰 베린저,밥 호스킨스,그레타 스카키"
5280,5280,부기나이트,1999-03-20,미국,드라마,폴 토마스 앤더슨,"돈 치들,헤더 그레이엄,루이스 구즈만,필립 베이커 홀,필립 세이모어 호프만"
5281,5281,빅뱅 메이드,2016-06-30,한국,다큐멘터리,변진호,"권지용,태양,최승현,대성,승리"
5282,5282,율리시즈의 시선,1996-10-19,그리스,"드라마,전쟁",테오도로스 앙겔로플로스,"하비 케이틀,마이아 모겐스턴,얼랜드 요셉슨"
5283,5283,게스트하우스,2018-02-22,한국,"드라마,멜로/로맨스","조성규,이규회,조성규","김성제,치순,김강현,백선우,서해림,박신우,정다원,곽민석"
5284,5284,요묘전: 레전드 오브 더 데몬 캣,2018-08-30,중국,"미스터리,판타지,드라마",첸 카이거,"소메타니 쇼타,장우기"
5285,5285,온리 유,2015-10-15,중국,"멜로/로맨스,코미디",장하오,"탕웨이,리아오 판"
5286,5286,욜로 유 온리 리브 원스,2019-02-28,아르헨티나,"액션,코미디,범죄",페데리코 쿠에바,피터 란자니
5287,5287,카이: 거울 호수의 전설,2016-08-17,한국,애니메이션,이성강,"김영은,박고운,강진아,이창규,임무권,이건우,채민지"
5288,5288,토요일 밤의 열기,1978-09-17,미국,"드라마,멜로/로맨스,뮤지컬",존 바담,"존 트라볼타,카렌 린 고니,배리 밀러"
5289,5289,여기자 20년,1978-11-12,한국,"드라마,사극",김수용,"황정아,이순재,이대엽,최남현"
5290,5290,토파즈,1972-09-02,미국,"범죄,스릴러",알프레드 히치콕,프레데릭 스태포드
5291,5291,굿바이 싱글,2016-06-29,한국,"코미디,드라마",김태곤,"김혜수,마동석,김현수,김용건,서현진,곽시양,전석호,이미도,이성민,황미영,이형미,박지영,정준화,유성진,윤환,이수경,최문석,홍민희,김근영,안재홍,황승언,김고은,목규리,이선빈,배유람,정원중,강찬희,송철호,임영우"
5292,5292,론 레인저,2013-07-04,미국,"액션,어드벤처",고어 버빈스키,"조니 뎁,아미 해머,헬레나 본햄 카터"
5293,5293,뉴 폴리스 스토리,2005-01-21,홍콩,액션,진목승,"성룡,사정봉"
5294,5294,악인이여 지옥행 열차를 타라,1977-01-28,한국,액션,박노식,"박노식,장동휘,김정훈,안보영,최봉,장혁"
5295,5295,시카리오: 암살자의 도시,2015-12-03,미국,"범죄,미스터리,스릴러",드니 빌뇌브,"에밀리 블런트,베니치오 델 토로,조슈 브롤린"
5296,5296,툼디: 부러진 검의 전설,2017-08-03,태국,액션,빈 분루에릿,부아카오 포 프라묵
5297,5297,바이스: 범죄도시,2017-12-28,미국,"액션,어드벤처,SF",브라이언 A 밀러,"토마스 제인,브루스 윌리스,엠버 칠더스"
5298,5298,서바이벌 패밀리,2018-01-18,일본,코미디,야구치 시노부,"코히나타 후미요,후카츠 에리"
5299,5299,가을비 우산속에,1979-08-23,한국,"드라마,멜로/로맨스",석래명,"신성일,정윤희,김자옥,문정숙"
5300,5300,눈의 여왕 3: 눈과 불의 마법대결,2017-01-04,러시아,"애니메이션,어드벤처,가족,판타지",알렉세이 트시칠린,"박지윤,엄상현,남도형,박상훈,이재범"
5301,5301,인랜드 엠파이어,2007-07-26,폴란드,"미스터리,스릴러",데이빗 린치,"제레미 아이언스,로라 던"
5302,5302,남사당,1975-04-19,한국,사극,이규환,"최성호,윤미라"
5303,5303,다시..올래,2018-04-26,한국,드라마,김충녕,"이채은,신유주,윤준호,석호진,정영기,김영환,강성호,강재훈,김동희,김영환,문상호,박형준,조형우"
5304,5304,터널,2016-08-10,한국,드라마,김성훈,"하정우,배두나,오달수,김종수,임한빈,정민희,송민석,윤성민,이동진,이상희,최춘범,권승구,진용욱,이한서,예수정,서현우,배유람,조현철,김수진,윤돈선,주석태,강신철,한성천,김승훈,이장유,이문석,양지수"
5305,5305,아가씨 참으세요,1981-09-19,한국,"드라마,범죄",이형표,"권영문,정윤희,서영란"
5306,5306,퍼스트 어벤져,2011-07-28,미국,"액션,SF",조 존스톤,"크리스 에반스,휴고 위빙,헤일리 앳웰,토미 리 존스"
5307,5307,흑룡강,1976-10-09,한국,액션,김선경,"왕호,황태수,조춘"
5308,5308,뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,한국,애니메이션,박영균,"이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현,홍범기"
5309,5309,올란도,1994-03-12,영국,드라마,샐리 포터,"빌리 제인,틸다 스윈튼"
5310,5310,빈센트,2017-12-14,한국,드라마,박보상,"홍경인,고유진,배슬기,김기연,유주오,윤선아,이영광,이재호,조채연,고경아,고봉성,선정하"
5311,5311,흔들리는 물결,2016-10-27,한국,멜로/로맨스,김진도,"심희섭,고원희,윤혜리,목규리"
5312,5312,화녀 '82,1982-06-26,한국,"드라마,범죄,스릴러",김기영,"김지미,전무송,나영희,김해숙"
5313,5313,마지막 찻잔,1979-07-06,한국,"드라마,멜로/로맨스",정소영,"이영하,정영숙,윤일봉,허진,이경태"
5314,5314,착한 형수 2,2017-10-19,한국,멜로/로맨스,곽영근,"이채담,조용복"
5315,5315,여인잔혹사 물레야 물레야,1984-02-25,한국,사극,이두용,"김지영,문정숙,최성관,원미경,신일룡,정규영"
5316,5316,그날 본 꽃의 이름을 우리는 아직 모른다,2014-02-20,일본,"애니메이션,드라마,판타지,멜로/로맨스",나가이 타츠유키,"이리노 미유,세토 아사미,사쿠라이 타카히로,하야미 사오리"
5317,5317,너에게만 들려주고 싶어,2017-05-25,한국,"멜로/로맨스,드라마",박병환,"팀,손하정,최종남,차수빈,김나온"
5318,5318,벅스 라이프,1998-12-12,미국,"애니메이션,가족",존 라세터,"데이브 폴리,줄리아 루이스 드레퓌스,케빈 스페이시,강수진,이현선,이인성,이윤선"
5319,5319,K2,1993-05-01,미국,"드라마,어드벤처",프랭크 로담,마이클 빈
